v1,v2,v3,v4,category,pred_word,score,is_correct
Athens,Greece,Baghdad,Iraq,semantic,Iraqi,0.635187029838562,False
Athens,Greece,Bangkok,Thailand,semantic,Thailand,0.7137669920921326,True
Athens,Greece,Beijing,China,semantic,China,0.7235778570175171,True
Athens,Greece,Berlin,Germany,semantic,Germany,0.6734622716903687,True
Athens,Greece,Bern,Switzerland,semantic,Switzerland,0.4919748306274414,True
Athens,Greece,Cairo,Egypt,semantic,Egypt,0.7527809739112854,True
Athens,Greece,Canberra,Australia,semantic,Australia,0.583732545375824,True
Athens,Greece,Hanoi,Vietnam,semantic,Viet_Nam,0.6276341676712036,False
Athens,Greece,Havana,Cuba,semantic,Cuba,0.6460990905761719,True
Athens,Greece,Helsinki,Finland,semantic,Finland,0.68999844789505,True
Athens,Greece,Islamabad,Pakistan,semantic,Pakistan,0.7233326435089111,True
Athens,Greece,Kabul,Afghanistan,semantic,Afghan,0.6160916090011597,False
Athens,Greece,London,England,semantic,Britain,0.5646188259124756,False
Athens,Greece,Madrid,Spain,semantic,Spain,0.703661322593689,True
Athens,Greece,Moscow,Russia,semantic,Russia,0.7382973432540894,True
Athens,Greece,Oslo,Norway,semantic,Norway,0.6470744013786316,True
Athens,Greece,Ottawa,Canada,semantic,Canada,0.5912168622016907,True
Athens,Greece,Paris,France,semantic,France,0.6724624633789062,True
Athens,Greece,Rome,Italy,semantic,Italy,0.682619035243988,True
Athens,Greece,Stockholm,Sweden,semantic,Sweden,0.6757243871688843,True
Athens,Greece,Tehran,Iran,semantic,Iran,0.7671369910240173,True
Athens,Greece,Tokyo,Japan,semantic,Japan,0.7256094813346863,True
Baghdad,Iraq,Bangkok,Thailand,semantic,Thailand,0.6745355129241943,True
Baghdad,Iraq,Beijing,China,semantic,China,0.6915649175643921,True
Baghdad,Iraq,Berlin,Germany,semantic,Germany,0.6057409048080444,True
Baghdad,Iraq,Bern,Switzerland,semantic,coach_Bobby_Curlings,0.4347156882286072,False
Baghdad,Iraq,Cairo,Egypt,semantic,Egypt,0.6848487854003906,True
Baghdad,Iraq,Canberra,Australia,semantic,Mr_Rudd,0.6186109185218811,False
Baghdad,Iraq,Hanoi,Vietnam,semantic,Vietnam,0.7493551969528198,True
Baghdad,Iraq,Havana,Cuba,semantic,Cuba,0.7133255004882812,True
Baghdad,Iraq,Helsinki,Finland,semantic,Finland,0.5972561836242676,True
Baghdad,Iraq,Islamabad,Pakistan,semantic,Pakistan,0.7466936707496643,True
Baghdad,Iraq,Kabul,Afghanistan,semantic,Afghanistan,0.8359360098838806,True
Baghdad,Iraq,London,England,semantic,Britain,0.5853632688522339,False
Baghdad,Iraq,Madrid,Spain,semantic,Spain,0.6144676804542542,True
Baghdad,Iraq,Moscow,Russia,semantic,Russia,0.7236211895942688,True
Baghdad,Iraq,Oslo,Norway,semantic,Norway,0.5987579822540283,True
Baghdad,Iraq,Ottawa,Canada,semantic,Prime_Minister_Jean_Chrétien,0.5704855918884277,False
Baghdad,Iraq,Paris,France,semantic,France,0.6203721761703491,True
Baghdad,Iraq,Rome,Italy,semantic,Italy,0.5362657904624939,True
Baghdad,Iraq,Stockholm,Sweden,semantic,Sweden,0.5907803177833557,True
Baghdad,Iraq,Tehran,Iran,semantic,Iran,0.8114986419677734,True
Baghdad,Iraq,Tokyo,Japan,semantic,Japan,0.7056296467781067,True
Baghdad,Iraq,Athens,Greece,semantic,Greece,0.5793530344963074,True
Bangkok,Thailand,Beijing,China,semantic,China,0.8263983726501465,True
Bangkok,Thailand,Berlin,Germany,semantic,Germany,0.729519784450531,True
Bangkok,Thailand,Bern,Switzerland,semantic,Switzerland,0.5047769546508789,True
Bangkok,Thailand,Cairo,Egypt,semantic,Egypt,0.8118714690208435,True
Bangkok,Thailand,Canberra,Australia,semantic,Australia,0.7154911160469055,True
Bangkok,Thailand,Hanoi,Vietnam,semantic,Viet_Nam,0.7700590491294861,False
Bangkok,Thailand,Havana,Cuba,semantic,Cuba,0.800740659236908,True
Bangkok,Thailand,Helsinki,Finland,semantic,Finland,0.7515274286270142,True
Bangkok,Thailand,Islamabad,Pakistan,semantic,Pakistan,0.7976753115653992,True
Bangkok,Thailand,Kabul,Afghanistan,semantic,Afghanistan,0.6666889190673828,True
Bangkok,Thailand,London,England,semantic,Britain,0.6576252579689026,False
Bangkok,Thailand,Madrid,Spain,semantic,Spain,0.765529990196228,True
Bangkok,Thailand,Moscow,Russia,semantic,Russia,0.8613657355308533,True
Bangkok,Thailand,Oslo,Norway,semantic,Norway,0.7142737507820129,True
Bangkok,Thailand,Ottawa,Canada,semantic,Canada,0.6684818267822266,True
Bangkok,Thailand,Paris,France,semantic,France,0.7388160228729248,True
Bangkok,Thailand,Rome,Italy,semantic,Italy,0.6863130331039429,True
Bangkok,Thailand,Stockholm,Sweden,semantic,Sweden,0.7587180733680725,True
Bangkok,Thailand,Tehran,Iran,semantic,Iran,0.8363437652587891,True
Bangkok,Thailand,Tokyo,Japan,semantic,Japan,0.8282634615898132,True
Bangkok,Thailand,Athens,Greece,semantic,Greece,0.6765022873878479,True
Bangkok,Thailand,Baghdad,Iraq,semantic,Iraqi,0.6885136365890503,False
Beijing,China,Berlin,Germany,semantic,Germany,0.7232257723808289,True
Beijing,China,Bern,Switzerland,semantic,Bern_NC,0.4655816853046417,False
Beijing,China,Cairo,Egypt,semantic,Egypt,0.7653075456619263,True
Beijing,China,Canberra,Australia,semantic,Australia,0.7234394550323486,True
Beijing,China,Hanoi,Vietnam,semantic,Viet_Nam,0.7793146967887878,False
Beijing,China,Havana,Cuba,semantic,Cuba,0.7189655900001526,True
Beijing,China,Helsinki,Finland,semantic,Finland,0.7141392827033997,True
Beijing,China,Islamabad,Pakistan,semantic,Pakistan,0.8062407374382019,True
Beijing,China,Kabul,Afghanistan,semantic,Afghan,0.6770888566970825,False
Beijing,China,London,England,semantic,UK,0.630479633808136,False
Beijing,China,Madrid,Spain,semantic,Spain,0.7320305109024048,True
Beijing,China,Moscow,Russia,semantic,Russia,0.8579801321029663,True
Beijing,China,Oslo,Norway,semantic,Norway,0.6628976464271545,True
Beijing,China,Ottawa,Canada,semantic,Canada,0.6537172198295593,True
Beijing,China,Paris,France,semantic,France,0.7109121680259705,True
Beijing,China,Rome,Italy,semantic,Italy,0.663748562335968,True
Beijing,China,Stockholm,Sweden,semantic,Sweden,0.7026647925376892,True
Beijing,China,Tehran,Iran,semantic,Iran,0.826274573802948,True
Beijing,China,Tokyo,Japan,semantic,Japan,0.8236701488494873,True
Beijing,China,Athens,Greece,semantic,Greece,0.6515147686004639,True
Beijing,China,Baghdad,Iraq,semantic,Mosul,0.7041885256767273,False
Beijing,China,Bangkok,Thailand,semantic,Thailand,0.8047244548797607,True
Berlin,Germany,Bern,Switzerland,semantic,Switzerland,0.609531819820404,True
Berlin,Germany,Cairo,Egypt,semantic,Egypt,0.6912306547164917,True
Berlin,Germany,Canberra,Australia,semantic,Australia,0.7485095858573914,True
Berlin,Germany,Hanoi,Vietnam,semantic,Viet_Nam,0.6875089406967163,False
Berlin,Germany,Havana,Cuba,semantic,Cuba,0.6961181163787842,True
Berlin,Germany,Helsinki,Finland,semantic,Finland,0.7654494047164917,True
Berlin,Germany,Islamabad,Pakistan,semantic,Pakistan,0.7597626447677612,True
Berlin,Germany,Kabul,Afghanistan,semantic,Afghan,0.6450541615486145,False
Berlin,Germany,London,England,semantic,UK,0.6597434282302856,False
Berlin,Germany,Madrid,Spain,semantic,Spain,0.7768210768699646,True
Berlin,Germany,Moscow,Russia,semantic,Russia,0.8107380867004395,True
Berlin,Germany,Oslo,Norway,semantic,Norway,0.7291736602783203,True
Berlin,Germany,Ottawa,Canada,semantic,Canada,0.6773226857185364,True
Berlin,Germany,Paris,France,semantic,France,0.7884092926979065,True
Berlin,Germany,Rome,Italy,semantic,Italy,0.7509608268737793,True
Berlin,Germany,Stockholm,Sweden,semantic,Sweden,0.8022658228874207,True
Berlin,Germany,Tehran,Iran,semantic,Iran,0.7747757434844971,True
Berlin,Germany,Tokyo,Japan,semantic,Japan,0.7969788312911987,True
Berlin,Germany,Athens,Greece,semantic,Greece,0.6390470862388611,True
Berlin,Germany,Baghdad,Iraq,semantic,Mosul,0.686406135559082,False
Berlin,Germany,Bangkok,Thailand,semantic,Thailand,0.7680835127830505,True
Berlin,Germany,Beijing,China,semantic,China,0.7755853533744812,True
Bern,Switzerland,Cairo,Egypt,semantic,Egypt,0.5989274978637695,True
Bern,Switzerland,Canberra,Australia,semantic,Australia,0.6860506534576416,True
Bern,Switzerland,Hanoi,Vietnam,semantic,Viet_Nam,0.5609371066093445,False
Bern,Switzerland,Havana,Cuba,semantic,Cuba,0.6295959949493408,True
Bern,Switzerland,Helsinki,Finland,semantic,Finland,0.6637659072875977,True
Bern,Switzerland,Islamabad,Pakistan,semantic,Pakistan,0.6708024144172668,True
Bern,Switzerland,Kabul,Afghanistan,semantic,Afghanistan,0.5338183641433716,True
Bern,Switzerland,London,England,semantic,EURASIAN_NATURAL_RESOURCES_CORP.,0.5463826656341553,False
Bern,Switzerland,Madrid,Spain,semantic,Spain,0.6423718333244324,True
Bern,Switzerland,Moscow,Russia,semantic,Russia,0.6487589478492737,True
Bern,Switzerland,Oslo,Norway,semantic,Norway,0.6448377966880798,True
Bern,Switzerland,Ottawa,Canada,semantic,Canada,0.6468112468719482,True
Bern,Switzerland,Paris,France,semantic,France,0.6129553914070129,True
Bern,Switzerland,Rome,Italy,semantic,Italy,0.6486327052116394,True
Bern,Switzerland,Stockholm,Sweden,semantic,Sweden,0.6849664449691772,True
Bern,Switzerland,Tehran,Iran,semantic,Iran,0.6813836097717285,True
Bern,Switzerland,Tokyo,Japan,semantic,Japan,0.6434275507926941,True
Bern,Switzerland,Athens,Greece,semantic,Greece,0.5800099968910217,True
Bern,Switzerland,Baghdad,Iraq,semantic,Iraqi,0.5730240941047668,False
Bern,Switzerland,Bangkok,Thailand,semantic,Thailand,0.6617313623428345,True
Bern,Switzerland,Beijing,China,semantic,China,0.6225298643112183,True
Bern,Switzerland,Berlin,Germany,semantic,Germany,0.7138351202011108,True
Cairo,Egypt,Canberra,Australia,semantic,Australia,0.6811555027961731,True
Cairo,Egypt,Hanoi,Vietnam,semantic,Viet_Nam,0.7589392066001892,False
Cairo,Egypt,Havana,Cuba,semantic,Cuba,0.7639017105102539,True
Cairo,Egypt,Helsinki,Finland,semantic,Finland,0.7256742119789124,True
Cairo,Egypt,Islamabad,Pakistan,semantic,Pakistan,0.8155920505523682,True
Cairo,Egypt,Kabul,Afghanistan,semantic,Afghan,0.6829640865325928,False
Cairo,Egypt,London,England,semantic,Britain,0.6454267501831055,False
Cairo,Egypt,Madrid,Spain,semantic,Spain,0.7469133734703064,True
Cairo,Egypt,Moscow,Russia,semantic,Russia,0.8426570892333984,True
Cairo,Egypt,Oslo,Norway,semantic,Norway,0.6975642442703247,True
Cairo,Egypt,Ottawa,Canada,semantic,Canada,0.6659149527549744,True
Cairo,Egypt,Paris,France,semantic,France,0.7114197611808777,True
Cairo,Egypt,Rome,Italy,semantic,Italy,0.6812828779220581,True
Cairo,Egypt,Stockholm,Sweden,semantic,Sweden,0.7365161776542664,True
Cairo,Egypt,Tehran,Iran,semantic,Iran,0.8531846404075623,True
Cairo,Egypt,Tokyo,Japan,semantic,Japan,0.7753520011901855,True
Cairo,Egypt,Athens,Greece,semantic,Greece,0.7355356216430664,True
Cairo,Egypt,Baghdad,Iraq,semantic,Iraqi,0.7208045721054077,False
Cairo,Egypt,Bangkok,Thailand,semantic,Thailand,0.8275744318962097,True
Cairo,Egypt,Beijing,China,semantic,China,0.806604266166687,True
Cairo,Egypt,Berlin,Germany,semantic,Germany,0.7016905546188354,True
Cairo,Egypt,Bern,Switzerland,semantic,Switzerland,0.4930407404899597,True
Canberra,Australia,Hanoi,Vietnam,semantic,Viet_Nam,0.6714490652084351,False
Canberra,Australia,Havana,Cuba,semantic,Cuba,0.6964417695999146,True
Canberra,Australia,Helsinki,Finland,semantic,Finland,0.690654993057251,True
Canberra,Australia,Islamabad,Pakistan,semantic,Pakistan,0.7743955850601196,True
Canberra,Australia,Kabul,Afghanistan,semantic,Afghans,0.5854719877243042,False
Canberra,Australia,London,England,semantic,UK,0.6224532723426819,False
Canberra,Australia,Madrid,Spain,semantic,Spain,0.7410276532173157,True
Canberra,Australia,Moscow,Russia,semantic,Russia,0.7891086339950562,True
Canberra,Australia,Oslo,Norway,semantic,Norway,0.6703749299049377,True
Canberra,Australia,Ottawa,Canada,semantic,Canada,0.7492120265960693,True
Canberra,Australia,Paris,France,semantic,France,0.7159996032714844,True
Canberra,Australia,Rome,Italy,semantic,Italy,0.663947343826294,True
Canberra,Australia,Stockholm,Sweden,semantic,Sweden,0.7069719433784485,True
Canberra,Australia,Tehran,Iran,semantic,Iran,0.7551094889640808,True
Canberra,Australia,Tokyo,Japan,semantic,Japan,0.7584798336029053,True
Canberra,Australia,Athens,Greece,semantic,Greece,0.5700702667236328,True
Canberra,Australia,Baghdad,Iraq,semantic,Mosul,0.6397027969360352,False
Canberra,Australia,Bangkok,Thailand,semantic,Thailand,0.7358657717704773,True
Canberra,Australia,Beijing,China,semantic,China,0.7823367714881897,True
Canberra,Australia,Berlin,Germany,semantic,Germany,0.7441055774688721,True
Canberra,Australia,Bern,Switzerland,semantic,Switzerland,0.5360245108604431,True
Canberra,Australia,Cairo,Egypt,semantic,Egypt,0.6859404444694519,True
Hanoi,Vietnam,Havana,Cuba,semantic,Cuba,0.6831811666488647,True
Hanoi,Vietnam,Helsinki,Finland,semantic,Finland,0.5732652544975281,True
Hanoi,Vietnam,Islamabad,Pakistan,semantic,Pakistan,0.7073384523391724,True
Hanoi,Vietnam,Kabul,Afghanistan,semantic,Afghanistan,0.7566174864768982,True
Hanoi,Vietnam,London,England,semantic,Britain,0.5320746302604675,False
Hanoi,Vietnam,Madrid,Spain,semantic,Spain,0.6318690180778503,True
Hanoi,Vietnam,Moscow,Russia,semantic,Russia,0.6925883293151855,True
Hanoi,Vietnam,Oslo,Norway,semantic,Norway,0.5300316214561462,True
Hanoi,Vietnam,Ottawa,Canada,semantic,Canada,0.5802633166313171,True
Hanoi,Vietnam,Paris,France,semantic,France,0.5821924209594727,True
Hanoi,Vietnam,Rome,Italy,semantic,Italy,0.5208398699760437,True
Hanoi,Vietnam,Stockholm,Sweden,semantic,Sweden,0.5909289717674255,True
Hanoi,Vietnam,Tehran,Iran,semantic,Iran,0.7381366491317749,True
Hanoi,Vietnam,Tokyo,Japan,semantic,Japan,0.6836793422698975,True
Hanoi,Vietnam,Athens,Greece,semantic,Greece,0.5295498967170715,True
Hanoi,Vietnam,Baghdad,Iraq,semantic,Iraq,0.7784610986709595,True
Hanoi,Vietnam,Bangkok,Thailand,semantic,Thailand,0.694861888885498,True
Hanoi,Vietnam,Beijing,China,semantic,China,0.7234392762184143,True
Hanoi,Vietnam,Berlin,Germany,semantic,Germany,0.5970562100410461,True
Hanoi,Vietnam,Bern,Switzerland,semantic,Bern_NC,0.497576504945755,False
Hanoi,Vietnam,Cairo,Egypt,semantic,Egypt,0.70243239402771,True
Hanoi,Vietnam,Canberra,Australia,semantic,Australia,0.6169843673706055,True
Havana,Cuba,Helsinki,Finland,semantic,Finland,0.6971813440322876,True
Havana,Cuba,Islamabad,Pakistan,semantic,Pakistan,0.812371551990509,True
Havana,Cuba,Kabul,Afghanistan,semantic,Afghanistan,0.7092918157577515,True
Havana,Cuba,London,England,semantic,Britain,0.6217108964920044,False
Havana,Cuba,Madrid,Spain,semantic,Spain,0.6929836869239807,True
Havana,Cuba,Moscow,Russia,semantic,Russia,0.8237830400466919,True
Havana,Cuba,Oslo,Norway,semantic,Norway,0.7030717134475708,True
Havana,Cuba,Ottawa,Canada,semantic,Canada,0.656257688999176,True
Havana,Cuba,Paris,France,semantic,France,0.6843083500862122,True
Havana,Cuba,Rome,Italy,semantic,Italy,0.6025851368904114,True
Havana,Cuba,Stockholm,Sweden,semantic,Sweden,0.7303112745285034,True
Havana,Cuba,Tehran,Iran,semantic,Iran,0.8635510206222534,True
Havana,Cuba,Tokyo,Japan,semantic,Japan,0.7725998759269714,True
Havana,Cuba,Athens,Greece,semantic,Greece,0.632399320602417,True
Havana,Cuba,Baghdad,Iraq,semantic,Iraq,0.7371042966842651,True
Havana,Cuba,Bangkok,Thailand,semantic,Thailand,0.7950247526168823,True
Havana,Cuba,Beijing,China,semantic,China,0.7704688906669617,True
Havana,Cuba,Berlin,Germany,semantic,Germany,0.6952270865440369,True
Havana,Cuba,Bern,Switzerland,semantic,Switzerland,0.502707302570343,True
Havana,Cuba,Cairo,Egypt,semantic,Egypt,0.7647275924682617,True
Havana,Cuba,Canberra,Australia,semantic,Australia,0.6877731680870056,True
